"id","label","x","y"
50002,"Ad fl. Tigrim",37.325,42.196
50209,"Iulia Concordia",45.757,12.844
50327,"Roma",41.892,12.486
50319,"Praetorium",31.5,15.5
50294,"Patavium",45.41,11.877
50322,"Puteoli",40.824,14.122
50009,"Aequum Tuticum",41.152,15.088
50330,"Rutupiae",51.294,1.332
50008,"Aelana",29.664,34.974
50326,"Regium",38.109,15.644
50328,"Rusaddir",35.292,-2.938
50329,"Rusicade",36.883,6.906
50001,"Abodiacum",47.91,10.91
50003,"Ad Publicanos",45.667,6.387
50005,"Ad Aras",38.5,-0.5
50289,"Palantia",42.475,-5.297
50039,"Archelais",38.402,33.95
50323,"Ravenna",44.416,12.197
50290,"Palmyra",34.768,38.286
50030,"Apulum",46.077,23.58
50035,"Aquincum",47.564,19.05
50331,"Sabratha",32.806,12.485
50356,"Singidunum",44.802,20.466
50359,"Sirmium",44.966,19.61
50332,"Saguntum",39.68,-0.279
50041,"Argentorate",48.583,7.744
50333,"Sala",34.015,-6.833
50360,"Sisapo",38.645,-4.518
50364,"Soura",35.864,38.914
50365,"Spinis",51.412,-1.344
50286,"Ostia/Portus",41.755,12.288
50370,"Summuntorium",48.646,10.826
50375,"Taliata",44.444,22.144
50194,"Hermopolis Magna",27.778,30.804
50361,"Siscia",45.483,16.371
50366,"Spoletium",42.745,12.738
50373,"Syene",24.096,32.905
50392,"Tibiscum",45.459,22.186
50398,"Tolosa",43.604,1.443
50400,"Tralles",37.853,27.844
50395,"Ticinum",45.186,9.157
50407,"Vappincum",44.56,6.076
50422,"Virovesca",42.55,-3.323
50372,"Summus Pyreneus (East)",42.758,-0.828
50726,"x",,
50435,"Aginnum",0,0
50408,"Veldidena",47.254,11.4
50409,"Venonis",52.494,-1.301
50424,"Vivisco",46.459,6.847
50423,"Virunum",46.703,14.36
50012,"Ara Agrippinensium",50.941,6.96
50161,"Edessa",37.176,38.776
50163,"Emerita Augusta",38.916,-6.346
50184,"Germa",39.511,31.616
50254,"Memphis",30.004,31.276
50082,"Bracara Augusta",41.552,-8.423
50074,"Eleutheropolis",31.621,34.888
